game_id,game_name,released,tba,age rating,genre,subgenre,owned,numero_plataformas,rating_top,ratings_count,added,metacritic,suggestions_count,numero_stores,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,average_percentage_good,average_percentage_intermediate,average_percentage_bad
3498,Grand Theft Auto V,2013-09-17,False,Mature,Action,no,12151.0,7,5,6855,21102,92.0,434,5,23.46,23.04,1.39,8.03,55.92,10.0,50.0,40.0
3328,The Witcher 3: Wild Hunt,2015-05-18,False,Mature,Action,RPG,12003.0,7,5,6598,20584,92.0,677,5,1.82,2.89,0.21,0.7200000000000001,5.64,30.0,60.0,10.0
5679,The Elder Scrolls V: Skyrim,2011-11-11,False,Mature,Action,RPG,9518.0,8,5,4632,15889,94.0,602,4,8.73,7.66,0.35,2.54,19.28,50.0,40.0,10.0
2093,No Man's Sky,2016-08-09,False,Teen,Adventure,"Action, RPG, Simulation, Indie, Massively Multiplayer",5475.0,5,4,1512,7684,75.0,760,5,0.58,0.74,0.02,0.26,1.6,10.0,50.0,40.0
58813,Resident Evil 2,2019-01-25,False,Mature,Shooter,"Adventure, Action",1512.0,5,5,2117,5157,91.0,528,3,2.31,1.57,2.09,0.46,6.44,30.0,60.0,10.0
35561,Star Wars: Republic Commando,2005-03-01,False,Teen,Shooter,Action,2390.0,7,4,505,3283,78.0,657,6,0.48,0.21,0.0,0.03,0.7200000000000001,60.0,30.0,10.0
54491,Quake,1996-06-22,False,Mature,Shooter,Action,2436.0,13,4,461,3180,94.0,471,5,0.15,0.04,0.0,0.0,0.19,50.0,30.0,20.0
23600,Diablo III,2012-05-15,False,Mature,Action,RPG,880.0,9,4,862,2292,88.0,581,3,4.87,4.54,0.21,1.44,11.08,40.0,60.0,0.0
52670,Ape Escape,1999-05-31,False,Everyone,Platformer,no,60.0,3,4,40,149,90.0,362,1,0.71,0.51,0.32,0.12,1.68,40.0,50.0,10.0
59315,Ace Combat 5: The Unsung War,2004-10-21,False,Mature,Simulation,no,16.0,3,5,17,67,84.0,119,0,0.88,0.34,0.32,0.18,1.71,60.0,20.0,20.0
