game_id,game_name,released,tba,age rating,genre,subgenre,owned,numero_plataformas,rating_top,ratings_count,added,metacritic,suggestions_count,numero_stores,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3498,Grand Theft Auto V,2013-09-17,False,Mature,Action,no,12151.0,7,5,6855,21102,92.0,434,5,23.46,23.04,1.39,8.03,55.92
3328,The Witcher 3: Wild Hunt,2015-05-18,False,Mature,Action,RPG,12003.0,7,5,6598,20584,92.0,677,5,1.82,2.89,0.21,0.7200000000000001,5.64
5679,The Elder Scrolls V: Skyrim,2011-11-11,False,Mature,Action,RPG,9518.0,8,5,4632,15889,94.0,602,4,8.73,7.66,0.35,2.54,19.28
3070,Fallout 4,2015-11-09,False,Mature,Action,RPG,8543.0,4,4,3273,13480,84.0,460,3,5.42,5.04,0.25,1.57,12.28
2093,No Man's Sky,2016-08-09,False,Teen,Adventure,"Action, RPG, Simulation, Indie, Massively Multiplayer",5475.0,5,4,1512,7684,75.0,760,5,0.58,0.74,0.02,0.26,1.6
5193,Oddworld: Abe's Oddysee,1997-09-19,False,Teen,Platformer,Action,4620.0,4,4,547,5548,85.0,548,3,0.75,0.44,0.0,0.06,1.24
58813,Resident Evil 2,2019-01-25,False,Mature,Shooter,"Adventure, Action",1512.0,5,5,2117,5157,91.0,528,3,2.31,1.57,2.09,0.46,6.44
259801,Final Fantasy VII,2020-04-10,False,Teen,Adventure,"Action, RPG",2929.0,3,5,760,5067,87.0,630,3,3.01,2.47,3.28,0.96,9.72
35561,Star Wars: Republic Commando,2005-03-01,False,Teen,Shooter,Action,2390.0,7,4,505,3283,78.0,657,6,0.48,0.21000000000000002,0.0,0.03,0.7200000000000001
54491,Quake,1996-06-22,False,Mature,Shooter,Action,2436.0,13,4,461,3180,94.0,471,5,0.15,0.04,0.0,0.0,0.19
23600,Diablo III,2012-05-15,False,Mature,Action,RPG,880.0,9,4,862,2292,88.0,581,3,4.87,4.54,0.21,1.44,11.08
795632,Resident Evil 4,2023-03-24,False,Mature,Adventure,Action,476.0,5,5,409,1614,0.0,524,2,4.4,1.8399999999999999,0.8200000000000001,0.53,7.6
638654,Dead Space,2023-01-27,False,Mature,Adventure,Action,496.0,3,5,205,1388,0.0,402,3,1.94,1.6,0.0,0.49,4.03
840776,Lords of the Fallen,2023-10-13,False,Mature,Action,RPG,46.0,5,4,51,326,0.0,643,1,0.27,0.36,0.02,0.11,0.76
849517,Alone in the Dark,2024-03-20,False,Mature,Adventure,Action,35.0,3,4,41,279,0.0,395,4,0.26,0.41,0.0,0.08,0.74
5501,Syphon Filter,1999-01-31,False,Teen,Shooter,Action,47.0,3,4,107,255,90.0,347,1,2.03,0.72,0.02,0.11,2.88
53146,Baldur's Gate: Dark Alliance,2001-12-02,False,Teen,Action,RPG,82.0,12,4,48,190,72.0,935,6,0.89,0.5599999999999999,0.0,0.17,1.61
5343,Syphon Filter 2,2000-02-29,False,Mature,Shooter,Action,51.0,3,4,69,185,0.0,327,1,1.5,0.55,0.02,0.08,2.15
868086,Silent Hill 2,2024-10-08,False,Mature,Adventure,Action,26.0,2,0,0,183,0.0,437,2,0.62,0.49,0.0,0.16,1.28
52670,Ape Escape,1999-05-31,False,Everyone,Platformer,no,60.0,3,4,40,149,90.0,362,1,0.71,0.51,0.32,0.12,1.68
23900,Fatal Frame: Maiden of Black Water,2015-10-22,False,Mature,Adventure,Action,66.0,7,4,13,121,67.0,745,4,0.0,0.03,0.08,0.0,0.11
4791,Tactics Ogre: Let Us Cling Together,1995-10-06,False,Teen,Strategy,no,30.0,8,5,30,107,87.0,619,1,0.15,0.07,0.98,0.05,1.24
59315,Ace Combat 5: The Unsung War,2004-10-21,False,Mature,Simulation,no,16.0,3,5,17,67,84.0,119,0,0.88,0.34,0.32,0.18,1.71
5361,Pursuit Force,2005-11-18,False,Teen,Racing,Action,9.0,3,5,16,50,75.0,59,1,0.14,0.01,0.0,0.02,0.17
5473,echochrome,2008-05-01,False,Everyone 10+,Puzzle,no,18.0,3,3,6,30,0.0,47,1,0.0,0.01,0.08,0.0,0.09
5500,Hot Shots Golf 2,1999-07-29,False,Everyone,Simulation,Sports,7.0,3,5,7,14,0.0,141,1,0.25,0.12,1.48,0.03,1.88
960256,Valkyrie Profile: Lenneth,2022-12-22,False,Teen,RPG,Simulation,1.0,2,0,0,4,0.0,0,0,0.17,0.01,0.16,0.02,0.36
934461,Marie no Atelier: Salburg no Renkinjutsushi,1997-05-23,False,Teen,Strategy,RPG,2.0,6,0,0,4,0.0,176,0,0.0,0.0,0.23,0.02,0.25
